Date,price
2009-06-15,68.61051940917969
2009-06-16,67.67993927001953
2009-06-17,67.61349487304688
2009-06-18,68.10831451416016
2009-06-19,68.35933685302734
2009-06-22,66.3094482421875
2009-06-23,66.36145782470703
2009-06-24,66.93333435058594
2009-06-25,68.38906860351562
2009-06-26,68.21080780029297
2009-06-29,68.84955596923828
2009-06-30,68.29247283935547
2009-07-01,68.57473754882812
2009-07-02,66.70307159423828
2009-07-06,66.6956558227539
2009-07-07,65.4033432006836
2009-07-08,65.3587646484375
2009-07-09,65.48505401611328
2009-07-10,65.3290786743164
2009-07-13,66.91845703125
2009-07-14,67.29727172851562
2009-07-15,69.26546478271484
2009-07-16,69.15404510498047
2009-07-17,69.91159057617188
2009-07-20,70.65431213378906
2009-07-21,70.98110961914062
2009-07-22,70.96627807617188
2009-07-23,72.53340148925781
2009-07-24,72.83047485351562
2009-07-27,73.04589080810547
2009-07-28,72.7042007446289
2009-07-29,72.52595520019531
2009-07-30,73.28355407714844
2009-07-31,73.38751220703125
2009-08-03,74.59815216064453
2009-08-04,74.7912368774414
2009-08-05,74.57586669921875
2009-08-06,74.18964385986328
2009-08-07,75.16261291503906
2009-08-10,75.00662231445312
2009-08-11,74.07078552246094
2009-08-12,74.86551666259766
2009-08-13,75.43741607666016
2009-08-14,74.85812377929688
2009-08-17,73.01615142822266
2009-08-18,73.59546661376953
2009-08-19,74.24165344238281
2009-08-20,75.00662231445312
2009-08-21,76.47718811035156
2009-08-24,76.46976470947266
2009-08-25,76.61831665039062
2009-08-26,76.6257553100586
2009-08-27,76.79656219482422
2009-08-28,76.7817153930664
2009-08-31,76.09844207763672
2009-09-01,74.41989135742188
2009-09-02,74.13763427734375
2009-09-03,74.75411224365234
2009-09-04,75.80131530761719
2009-09-08,76.45489501953125
2009-09-09,77.04167938232422
2009-09-10,77.82894134521484
2009-09-11,77.8140869140625
2009-09-14,78.1928939819336
2009-09-15,78.5196762084961
2009-09-16,79.70800018310547
2009-09-17,79.58919525146484
2009-09-18,79.63993072509766
2009-09-21,79.43841552734375
2009-09-22,79.90110778808594
2009-09-23,79.2369155883789
2009-09-24,78.36383819580078
2009-09-25,77.94593811035156
2009-09-28,79.34142303466797
2009-09-29,79.10263061523438
2009-09-30,78.79666137695312
2009-10-01,76.84147644042969
2009-10-02,76.48326110839844
2009-10-05,77.62500762939453
2009-10-06,78.73695373535156
2009-10-07,78.95333099365234
2009-10-08,79.55782318115234
2009-10-09,80.0428695678711
2009-10-12,80.35631561279297
2009-10-13,80.1921157836914
2009-10-14,81.57270812988281
2009-10-15,81.87122344970703
2009-10-16,81.2593002319336
2009-10-19,81.93090057373047
2009-10-20,81.49807739257812
2009-10-21,80.7667465209961
2009-10-22,81.58763885498047
2009-10-23,80.65485382080078
2009-10-26,79.7817153930664
2009-10-27,79.41604614257812
2009-10-28,77.91606140136719
2009-10-29,79.58769989013672
2009-10-30,77.28175354003906
2009-11-02,77.84891510009766
2009-11-03,78.09516906738281
2009-11-04,78.2966537475586
2009-11-05,79.7369384765625
2009-11-06,79.94588470458984
2009-11-09,81.7667007446289
2009-11-10,81.7816390991211
2009-11-11,82.19954681396484
2009-11-12,81.3637466430664
2009-11-13,81.8040542602539
2009-11-16,82.9905776977539
2009-11-17,83.08759307861328
2009-11-18,83.03536224365234
2009-11-19,81.95329284667969
2009-11-20,81.66228485107422
2009-11-23,82.69953155517578
2009-11-24,82.8264389038086
2009-11-25,83.11746215820312
2009-11-27,81.7667007446289
2009-11-30,82.0428466796875
2009-12-01,83.0577621459961
2009-12-02,83.02042388916016
2009-12-03,82.37118530273438
2009-12-04,82.84130859375
2009-12-07,82.71446228027344
2009-12-08,81.79656219482422
2009-12-09,82.10254669189453
2009-12-10,82.5652084350586
2009-12-11,82.91596221923828
2009-12-14,83.48311614990234
2009-12-15,83.09505462646484
2009-12-16,83.221923828125
2009-12-17,82.22196960449219
2009-12-18,82.6871109008789
2009-12-21,83.52738952636719
2009-12-22,83.82752990722656
2009-12-23,83.9925765991211
2009-12-24,84.39025115966797
2009-12-28,84.5702896118164
2009-12-29,84.45024108886719
2009-12-30,84.42023468017578
2009-12-31,83.60993957519531
2010-01-04,85.02793884277344
2010-01-05,85.2530288696289
2010-01-06,85.31306457519531
2010-01-07,85.67320251464844
2010-01-08,85.9582748413086
2010-01-11,86.0783462524414
2010-01-12,85.27552795410156
2010-01-13,85.99578857421875
2010-01-14,86.22838592529297
2010-01-15,85.2605209350586
2010-01-19,86.32593536376953
2010-01-20,85.44811248779297
2010-01-21,83.80502319335938
2010-01-22,81.93685913085938
2010-01-25,82.35700225830078
2010-01-26,82.01187896728516
2010-01-27,82.40203094482422
2010-01-28,81.4566879272461
2010-01-29,80.57134246826172
2010-02-01,81.82431030273438
2010-02-02,82.81465148925781
2010-02-03,82.40203094482422
2010-02-04,79.8586196899414
2010-02-05,80.0236587524414
2010-02-08,79.4459457397461
2010-02-09,80.44379425048828
2010-02-10,80.28626251220703
2010-02-11,81.12657165527344
2010-02-12,81.05905151367188
2010-02-16,82.33451080322266
2010-02-17,82.72459411621094
2010-02-18,83.21232604980469
2010-02-19,83.3848648071289
2010-02-22,83.3998794555664
2010-02-23,82.38703155517578
2010-02-24,83.144775390625
2010-02-25,83.0322265625
2010-02-26,83.08472442626953
2010-03-01,83.94757080078125
2010-03-02,84.1801528930664
2010-03-03,84.25518035888672
2010-03-04,84.5102767944336
2010-03-05,85.71818542480469
2010-03-08,85.73321533203125
2010-03-09,85.87577056884766
2010-03-10,86.25838470458984
2010-03-11,86.6185302734375
2010-03-12,86.6259994506836
2010-03-15,86.6485366821289
2010-03-16,87.33878326416016
2010-03-17,87.8564682006836
2010-03-18,87.81145477294922
2010-03-19,87.36697387695312
2010-03-22,87.83403778076172
2010-03-23,88.45178985595703
2010-03-24,88.02238464355469
2010-03-25,87.87924194335938
